Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20212;2240401382;3382;Neue Kirchenzeitung -;Die Woche im Erzbistum Hamburg;Osnabrück;1197;So;11;3382;3567;3157;3757;;3130;;;;;;;;27;410;;;;;15;8;;;8;;;;;;;;;7;;;;272;;;;;;;;;;;;;;;;;;557924
20212;3630801012;3383;Immobilien Zeitung;;Wiesbaden;616;woe;11;3383;10264;9063;10399;;9063;30;;;;;;;;1201;;;;;195;171;;;171;10;;;;;;;;24;;;;301;;;;;;;;;;;;;;;;;;0
20212;3630801012;12027;Immobilien Zeitung;davon ePaper;Wiesbaden;616;woe;12;12027;351;346;;;346;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;301;;;;;;;;;;;;;;;;;;0
20212;1302221880;3438;Altmark Zeitung Gesamt;;Salzwedel;324;Mo-Sa;10;3438;11777;10844;13303;;10277;;;312;1264;952;;;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101499
20212;1302221880;9674;Altmark Zeitung Gesamt;davon ePaper;Salzwedel;324;Mo-Sa;12;9674;362;362;;;155;;;;;;;;207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101499
20212;2220931112;3439;Joy;;Kiel;7242;mtl;11;3439;101221;101180;156367;;4921;;;22113;70821;48708;53649;5000;15497;41;;;;;3335;3335;;;767;;;2543;8753;6210;25;;;;;;;205;;;;;;;;;;VK;;;;;;;;521780
20212;2220931112;3439;Joy;;Kiel;7242;mtl;11;3439;149929;149888;156367;;4921;;;70821;70821;;53649;5000;15497;41;;;;;9545;9545;;;767;;;8753;8753;;25;;;;;;;205;;;;;;;;;;;;;;;;;;521780
20212;3020301022;3440;Praxis Magazin Die medizinische;Fachzeitschrift für Naturheilkunde;Staufen;621;10 x jähr;11;3440;9950;4477;10000;;4143;;3993;;;;;;334;5473;;;;;;;;;;;;;;;;;;;;;;311;;;;;;;;;;;;;;;;;;0
20212;3111001342;3446;MOUNTAIN Manager;;Hochheim;636;8 x jähr;11;3446;3996;402;4000;;401;;;;;;;;1;3594;;;;;3109;259;;;259;;;;;;;;;2850;;;;314;;;;;;;;;;;;;;;;;;0
20212;3023011002;3454;Biospektrum;;Heidelberg;2885;2-mtl;11;3454;10860;9747;10872;;9744;;9732;;;;;;3;1113;;;;;788;697;;;695;;693;;;;;;2;91;;;;309;;;;;;;;;;;;;;;;;;0
